Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
One Last Time,Ariana Grande,['pop'],Pop Royalty,2017-09-01,197505,44,0.631,0.601,8,-4.98,1,0.032,0.0953,2.86e-06,0.0997,0.104,125.014
One Man Band,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",Old Dominion,2019-10-25,186240,0,0.706,0.358,6,-8.331,1,0.0348,0.677,0.0,0.107,0.478,75.991
One Number Away,Luke Combs,"['contemporary country', 'country']",This One's for You,2017-06-02,221800,74,0.544,0.781,6,-6.16,0,0.0311,0.00585,0.0,0.191,0.527,144.075
One Thing Right,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",One Thing Right,2019-06-21,181823,74,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042
The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",Night Train,2012-10-16,193186,60,0.511,0.798,7,-4.314,1,0.0498,0.227,6.51e-06,0.184,0.607,183.303
On My Mind,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Delirium (Deluxe),2015-11-06,213445,67,0.702,0.705,0,-6.666,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.911
On Top Of The World,Imagine Dragons,"['modern rock', 'pop', 'rock']",Night Visions (Deluxe),2012-09-04,189840,70,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048
Ooh La La,Faces,"['blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'roots rock', 'singer-songwriter']",Ooh La La,1973,214080,70,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964
oops!,Yung Gravy,"['meme rap', 'minnesota hip hop']",Gasanova,2020-10-02,139759,69,0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",2014-06-10,242983,82,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97
oui,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Late Nights: The Album,2015-12-04,238320,77,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521
Overtime,Cash Cash,"['dance pop', 'edm', 'electro house', 'electropowerpop', 'pop dance']",Overtime EP,2013-10-29,246447,48,0.55,0.875,11,-0.755,0,0.3,0.0665,0.0,0.658,0.291,113.707
overwhelmed - Chri$tian Gate$ remix,Royal & the Serpent,"['alt z', 'indie electropop', 'modern alternative pop']",overwhelmed (the remixes),2021-02-05,134482,67,0.619,0.502,0,-8.097,0,0.249,0.178,0.0,0.155,0.38,174.196
PAINTING PICTURES,Superstar Pride,[],5LBS OF PRESSURE,2022-10-20,122070,85,0.956,0.515,11,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937
Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",New English,2016-06-26,246761,71,0.576,0.766,10,-4.943,0,0.449,0.028,1.68e-06,0.366,0.236,144.833
Parachute,Kyndal Inskeep,[],Parachute,2022-07-08,174250,57,0.245,0.487,0,-8.602,1,0.0619,0.0404,1.3e-06,0.14,0.15,58.664
Parachute,Chris Stapleton,"['contemporary country', 'outlaw country']",Traveller,2015-05-04,253200,73,0.642,0.762,6,-7.411,1,0.0296,0.00967,5.72e-05,0.182,0.605,113.038
Paradise,George Ezra,"['folk-pop', 'neo-singer-songwriter']",Staying at Tamara's,2018-03-23,222044,69,0.642,0.881,11,-3.537,1,0.0393,0.209,0.0,0.21,0.913,138.03
Paradise,Bazzi,['pop'],Soul Searching,2019-08-09,169038,73,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061
Paradise (feat. Dermot Kennedy),MEDUZA,"['pop dance', 'pop house', 'uk dance']",Paradise,2020-10-30,167903,78,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114
Paralyzed,Sueco,['cali rap'],Paralyzed,2021-08-13,163260,63,0.588,0.856,0,-5.288,0,0.0648,0.00128,2.78e-06,0.109,0.359,150.008
Paris,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Memories...Do Not Open,2017-04-07,221506,76,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99
Party On Fifth Ave.,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Blue Slide Park,2011-11-08,173516,51,0.617,0.823,9,-5.21,1,0.328,0.0635,0.0,0.095,0.663,97.67
Pepas,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",Pepas,2021-06-24,287120,84,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
The Phoenix,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Save Rock And Roll,2013-01-01,244960,70,0.562,0.964,4,-2.991,0,0.072,0.000539,1.57e-06,0.579,0.41,138.063
Photograph,Ed Sheeran,"['pop', 'uk pop']",x (Deluxe Edition),2014-06-21,258986,86,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
Photograph,Ed Sheeran,"['pop', 'uk pop']",Weekend Hangouts,2021-08-20,258986,30,0.718,0.379,4,-10.48,1,0.0359,0.607,0.000472,0.0986,0.22,108.033
PILLOWTALK,ZAYN,"['pop', 'uk pop']",Mind Of Mine (Deluxe Edition),2016-03-25,202746,79,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944
Pink Lady - Original Mix,Feed Me,"['brostep', 'complextro', 'edm', 'electro house', 'filthstep']",To The Stars,2011-07-01,302635,0,0.78,0.881,5,-4.876,0,0.166,0.0345,0.0134,0.279,0.505,109.961
Play Something Country,Brooks & Dunn,"['contemporary country', 'country', 'country road']",Hillbilly Deluxe,2005-08-30,194826,61,0.692,0.944,7,-2.846,1,0.0322,0.0817,0.0,0.574,0.774,115.148
Play That Song,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",a girl a bottle a boat,2017-01-27,243253,66,0.392,0.825,0,-2.068,0,0.0535,0.0231,2.25e-06,0.0972,0.482,98.959
Play with Fire (feat. Yacht Money),Sam Tinnesz,"['alt z', 'bossbeat', 'rebel blues']",Play with Fire (feat. Yacht Money),2017-07-07,180690,76,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012
Pocketful of Sunshine,Natasha Bedingfield,"['dance pop', 'pop', 'post-teen pop']",Pocketful Of Sunshine,2007-04-27,202906,71,0.721,0.88,9,-3.896,0,0.0454,0.191,0.0,0.0769,0.655,110.021
Pompeii - Remix,Bastille,"['metropopolis', 'modern rock', 'pop']",Remixed,2013-01-01,216687,44,0.567,0.868,9,-2.327,1,0.0859,0.0314,0.0,0.1,0.668,127.545
Popular Monster,Falling In Reverse,"['pop punk', 'rap metal']",Popular Monster,2019-11-20,220537,78,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107
Porch Swing Angel,Muscadine Bloodline,['modern country pop'],Porch Swing Angel,2016-04-17,230272,64,0.518,0.411,2,-7.896,1,0.0307,0.895,0.0,0.0911,0.187,136.147
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Post to Be (feat. Chris Brown & Jhene Aiko),2014-11-11,226580,54,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448
The Pretender,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']","Echoes, Silence, Patience & Grace",2007-09-25,269373,80,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984
Providence,Poor Man's Poison,['deathgrass'],Providence,2014-01-28,183533,54,0.515,0.623,9,-5.643,0,0.0477,0.566,0.0,0.0591,0.857,105.098
Pumped Up Kicks,Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",Torches,2011-05-23,239600,84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975
Put Your Records On,Ritt Momney,['bedroom pop'],Put Your Records On,2020-04-24,210463,76,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066
Radioactive,Imagine Dragons,"['modern rock', 'pop', 'rock']",Radioactive,2014-01-01,276040,67,0.483,0.894,9,-3.9,1,0.223,0.0407,0.0,0.282,0.278,139.858
Raised on Country,Chris Young,"['contemporary country', 'country', 'country road']",Raised on Country,2019-01-04,175594,55,0.572,0.794,2,-3.224,1,0.0455,0.395,0.0,0.23,0.79,148.095
Rap God,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP2 (Deluxe),2013-11-05,363521,78,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14
Rasputin,Majestic,['uk dance'],Rasputin,2021-02-26,186209,80,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04
Rather Be (feat. Jess Glynne),Clean Bandit,"['pop', 'uk dance', 'uk funky']",Rather Be (feat. Jess Glynne),2014-01-17,227833,74,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97
Razor Sharp,Pegboard Nerds,"['brostep', 'complextro', 'danish electronic', 'edm', 'electro house', 'glitch', 'speedrun']",Razor Sharp,2013-05-01,281454,0,0.681,0.909,9,-4.847,1,0.353,0.00135,2.33e-05,0.0754,0.378,110.007
Ready or Not,Bridgit Mendler,"['pop', 'post-teen pop']",Hello My Name Is...,2012-01-01,200946,70,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043
Ready or Not,Fugees,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",The Score (Expanded Edition),1996-02-13,226986,74,0.607,0.422,10,-13.364,0,0.499,0.209,0.0,0.0839,0.563,130.47
Really Don't Care,Demi Lovato,"['pop', 'post-teen pop']",Demi,2013-01-01,201600,71,0.706,0.728,7,-3.602,1,0.0852,0.123,0.0,0.185,0.851,121.017
The Real Slim Shady,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP,2000-05-23,284200,88,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
Reasons,Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,224293,62,0.446,0.851,6,-4.74,1,0.0416,0.056,1.91e-05,0.264,0.666,84.928
Reckless,JAXSON GAMBLE,"['bossbeat', 'rebel blues']",GOLDBLOODED,2018-11-16,196800,50,0.704,0.742,4,-3.389,1,0.0574,0.0414,5.44e-06,0.489,0.828,100.006
Red Flag,Billy Talent,['canadian punk'],Billy Talent II,2006-06-23,198173,69,0.564,0.865,2,-7.384,1,0.121,0.000583,0.0,0.056,0.726,183.052
REDNECKER,HARDY,"['contemporary country', 'modern country pop']",THIS OLE BOY,2018-10-19,201832,67,0.537,0.751,7,-5.472,1,0.0344,0.0506,9.63e-05,0.1,0.51,143.962
Redneck Yacht Club,Craig Morgan,"['contemporary country', 'country', 'country road']",My Kind Of Livin',2005-03-08,230373,66,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115
Red Ragtop,Tim McGraw,"['contemporary country', 'country', 'country road']",Tim McGraw And The Dancehall Doctors,2002-11-26,283560,57,0.551,0.671,7,-7.888,1,0.0286,0.191,2.49e-06,0.202,0.561,77.066
Remember the Name (feat. Styles of Beyond),Fort Minor,['rap rock'],The Rising Tied,2005-11-21,230493,74,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
Renegades,X Ambassadors,"['modern alternative rock', 'modern rock', 'stomp pop']",VHS,2015-06-30,195200,77,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052
Ride,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Blurryface,2015-05-15,214506,83,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989
Ride,Chase Rice,"['contemporary country', 'country', 'country road', 'modern country rock']",Ignite the Night (Party Edition),2014-08-19,241240,59,0.666,0.721,10,-6.347,1,0.0318,0.0354,0.0,0.122,0.342,115.039
Ride the Lightning (717 Tapes),Warren Zeiders,['modern country pop'],Ride the Lightning (717 Tapes),2021-06-25,186458,0,0.563,0.48,1,-6.349,1,0.0336,0.749,7.59e-05,0.0944,0.4,78.847
The Ringer,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Kamikaze,2018-08-31,337941,69,0.939,0.551,1,-9.126,1,0.291,0.0311,0.0,0.192,0.42,118.552
Riptide,Vance Joy,"['folk-pop', 'modern rock']",Dream Your Life Away,2014-09-08,204280,85,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
Rise,Katy Perry,['pop'],Rise,2016-07-15,203474,64,0.553,0.639,11,-6.445,1,0.0458,0.0468,0.0,0.107,0.442,101.418
RISE,I Prevail,"['alternative metal', 'nu-metalcore']",Lifelines,2016-10-21,194626,55,0.457,0.97,10,-4.214,0,0.057,3.37e-05,0.00204,0.189,0.731,163.959
River (feat. Ed Sheeran),Eminem,"['detroit hip hop', 'hip hop', 'rap']",Revival,2017-12-15,221013,74,0.748,0.749,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"['pop', 'uk dance', 'uk funky']",Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,251088,76,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965
Rock 'n' Roll (Will Take You to the Mountain),Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Scary Monsters and Nice Sprites EP,2010-12-21,284130,52,0.713,0.971,0,-1.264,1,0.381,0.00228,2.05e-05,0.242,0.676,128.064
ROCKSTAR (feat. Roddy Ricch),DaBaby,"['hip hop', 'north carolina hip hop', 'rap']",BLAME IT ON BABY,2020-04-17,181733,79,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977
Rollercoaster,Bleachers,"['double drumming', 'indie pop', 'modern rock', 'pov: indie']",Strange Desire,2014-07-14,188866,67,0.421,0.79,10,-6.227,1,0.0538,0.00205,0.000309,0.148,0.279,162.024
Roots,Imagine Dragons,"['modern rock', 'pop', 'rock']",Roots,2015-08-27,174506,65,0.637,0.887,7,-5.444,0,0.227,0.707,0.00188,0.326,0.596,157.759
Roses (feat. ROZES) - Zaxx Remix,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Roses (Remixes) (feat. ROZES),2016-01-01,190266,57,0.677,0.881,1,-3.534,0,0.054,0.00445,0.0146,0.359,0.566,128.121
Roses - Imanbek Remix,SAINt JHN,"['melodic rap', 'slap house']",Roses (Imanbek Remix),2019-10-09,176840,80,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975
Ruffneck - Full Flex,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",More Monsters and Sprites EP,2011-06-07,226285,52,0.646,0.97,5,-1.64,1,0.129,0.000244,0.00483,0.0668,0.325,140.145
Ruff Ryders' Anthem,DMX,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",It's Dark And Hell Is Hot,1998-05-01,214440,71,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991
Rum,Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",Pawn Shop,2016-01-15,213413,57,0.829,0.63,3,-6.014,1,0.0583,0.43,1.32e-05,0.109,0.886,121.041
Rum Is The Reason,Toby Keith,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",35 mph Town,2015-10-09,197293,0,0.761,0.719,11,-5.704,1,0.0244,0.273,0.00041,0.28,0.907,107.503
Rumor,Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']",Lee Brice,2017-11-03,198440,74,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975
The Run and Go,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Vessel,2013-01-08,229000,60,0.798,0.318,10,-6.849,0,0.0431,0.0437,0.0,0.158,0.425,92.49
Runaway (U & I),Galantis,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",Pharmacy,2015-06-05,227073,76,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008
Run Through The Jungle,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Cosmo's Factory (Expanded Edition),1970-07-25,184746,62,0.641,0.612,2,-8.307,1,0.0361,0.0474,0.0588,0.102,0.854,136.413
A Rush of Blood,Coasts,"['hopebeat', 'indie anthem-folk', 'indie poptimism', 'indie surf', 'shimmer pop']",Coasts,2015-09-04,247022,25,0.478,0.735,1,-7.168,1,0.032,0.00723,0.0,0.0675,0.369,128.025
Rx (Medicate),Theory of a Deadman,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",Wake Up Call,2017-10-27,233173,68,0.639,0.71,1,-7.445,1,0.0275,0.0133,0.0,0.118,0.378,119.989
Sabotage,Beastie Boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",Ill Communication,1994-05-23,178440,75,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131
The Safety Dance - Short Version,Men Without Hats,"['classic canadian rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",Rhythm Of Youth (Expanded Edition),1982-04-01,166826,46,0.526,0.899,5,-5.733,1,0.043,0.0155,0.0,0.207,0.678,100.343
Sail,AWOLNATION,"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']",Megalithic Symphony,2011-03-15,259093,75,0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051
Same Old Love,Selena Gomez,"['pop', 'post-teen pop']",Revival (Deluxe),2015-10-09,229080,73,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
Sand In My Boots,Morgan Wallen,['contemporary country'],Dangerous: The Double Album,2021-01-08,202133,79,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877
Santeria,Sublime,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",Sublime,1996-07-30,182746,79,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807
Satellite,Rise Against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk']",Endgame,2011-01-01,238573,69,0.387,0.94,5,-4.16,0,0.0528,0.00369,0.0,0.0759,0.444,134.876
Saturday Night,Bay City Rollers,['bubblegum pop'],Shang-A-Lang,1993-05-14,174400,48,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821
Saturdays,Chevelle,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge']",Vena Sera,2007-04-03,243840,40,0.251,0.943,6,-4.36,1,0.171,6.55e-05,0.00809,0.0395,0.288,141.278
Save The World - Knife Party Remix,Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",Save The World (The Remixes),2011-01-01,313238,32,0.721,0.951,9,-4.796,0,0.1,0.00142,0.156,0.127,0.51,124.99
Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,2020-03-20,215626,89,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
Savior,Rise Against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk']",Appeal To Reason,2008-01-01,242280,78,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49
Saxofuckingfon,Samir & Viktor,['swedish pop'],Saxofuckingfon,2015-06-05,198666,47,0.762,0.863,3,-5.653,0,0.0748,0.0241,8.66e-06,0.297,0.491,127.968
Say It (feat. Tove Lo),Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",Skin,2016-05-27,262521,62,0.598,0.532,3,-6.833,0,0.0295,0.0668,3.22e-06,0.0617,0.261,74.963
Say So,Doja Cat,"['dance pop', 'pop']",Hot Pink,2019-11-07,237893,79,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962
Say Something (feat. Chris Stapleton) - Live Version,Justin Timberlake,"['dance pop', 'pop']",Say Something (feat. Chris Stapleton) [Live Version],2018-03-30,242628,41,0.588,0.653,10,-5.982,1,0.0405,0.26,0.0,0.113,0.367,96.955
Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']",Back from the Edge,2016-10-28,211466,57,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
Scars,I Prevail,"['alternative metal', 'nu-metalcore']",Lifelines,2016-10-21,229773,66,0.505,0.964,7,-3.673,1,0.0718,9.97e-05,2.85e-06,0.113,0.571,138.021
Scary Monsters and Nice Sprites,Skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Scary Monsters and Nice Sprites EP,2010-12-21,243353,61,0.523,0.944,7,-3.581,0,0.0837,0.00336,0.557,0.119,0.324,139.997
Second Chance,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",The Sound of Madness,2008-06-24,222066,70,0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011
Senior Skip Day,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",K.I.D.S.,2010-08-13,175782,58,0.522,0.725,5,-5.184,0,0.302,0.556,0.0,0.799,0.81,108.36
September,"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'soul']","The Best Of Earth, Wind & Fire Vol. 1",1978-11-23,215093,77,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926
Seven Bridges Road - Live; 1999 Remaster,Eagles,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",Eagles Live,1980-11-07,184640,59,0.356,0.331,7,-11.065,1,0.0435,0.445,0.0,0.891,0.263,111.995
Seven Nation Army,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",Elephant,2003-04-01,232106,85,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
Sex,The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",The 1975,2013-01-01,207001,63,0.408,0.974,2,-4.139,1,0.126,1.31e-05,4.86e-05,0.526,0.173,148.298
S.E.X.,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",Dark Horse,2008-10-28,233840,57,0.55,0.914,8,-2.831,1,0.0425,3.53e-05,0.322,0.0894,0.825,134.958
Sex & Super Smash Bros.,KYLE,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'viral trap']",Beautiful Loser,2013-08-05,203489,46,0.746,0.788,9,-4.909,0,0.182,0.132,0.0,0.0711,0.768,116.993
Shape of You,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),2017-03-03,233712,87,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
Shark In The Water,V V Brown,"['british soul', 'metropopolis']",Travelling Like The Light,2009-01-01,184293,50,0.554,0.805,4,-3.128,1,0.0597,0.0279,0.0,0.359,0.697,98.981
She Got the Best of Me,Luke Combs,"['contemporary country', 'country']",This One's for You Too (Deluxe Edition),2018-06-01,183160,80,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99
She Keeps Me Up,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",No Fixed Address,2014-11-17,237666,73,0.766,0.725,9,-4.991,1,0.0369,0.0107,8.23e-05,0.0237,0.741,100.008
She Likes It (feat. Jake Scott),Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']",She Likes It (feat. Jake Scott),2021-11-05,163311,66,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877
Sheriff You Want To,Luke Combs,"['contemporary country', 'country']",Can I Get an Outlaw,2016-11-04,221120,59,0.659,0.664,6,-7.741,1,0.0282,0.0897,0.0,0.109,0.621,151.996
She's Out Of Her Mind,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",California,2016-07-01,162720,63,0.447,0.967,0,-2.706,1,0.0793,0.00448,0.0,0.487,0.606,179.991
She Thinks My Tractor's Sexy,Kenny Chesney,"['contemporary country', 'country', 'country road']",Everywhere We Go,1999-02-26,248066,67,0.689,0.886,10,-7.066,0,0.0382,0.0664,0.0,0.278,0.906,122.07
Shivers,Ed Sheeran,"['pop', 'uk pop']",Shivers,2021-09-10,207853,1,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
Short Change Hero,The Heavy,"['bath indie', 'modern blues rock']",The House That Dirt Built,2009-10-05,322266,61,0.68,0.64,1,-6.691,0,0.0336,0.29,0.00593,0.124,0.738,105.981
Short Skirt Weather,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",Experiment Extended,2019-11-01,194146,61,0.699,0.893,9,-5.412,1,0.0431,0.0626,0.0,0.253,0.944,128.044
Shotgun,George Ezra,"['folk-pop', 'neo-singer-songwriter']",Staying at Tamara's,2018-03-23,201287,78,0.673,0.735,5,-4.733,1,0.0457,0.286,0.0,0.242,0.754,115.744
Shots - Broiler Remix,Imagine Dragons,"['modern rock', 'pop', 'rock']",Smoke + Mirrors (Deluxe),2015-05-18,191000,70,0.735,0.784,11,-7.128,0,0.0332,0.449,0.154,0.105,0.582,120.012
Shots & Squats,Vigiland,"['deep pop edm', 'electronic trap']",Shots & Squats,2015-06-05,171799,63,0.807,0.812,5,-5.009,0,0.106,0.00773,0.000501,0.236,0.242,128.012
Shout Out to My Ex,Little Mix,"['girl group', 'pop', 'talent show', 'uk pop']",Glory Days (Expanded Edition),2016-11-18,246240,75,0.773,0.747,5,-4.061,1,0.0885,0.0242,8.99e-06,0.109,0.801,126.014
The Show Goes On,Lupe Fiasco,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",Lasers,2011-03-04,239613,71,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067
Shut Up and Dance,WALK THE MOON,"['dance rock', 'modern rock', 'pop']",TALKING IS HARD,2014-12-02,199080,84,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038
Side To Side,Ariana Grande,['pop'],Dangerous Woman,2016-04-01,226160,77,0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174
Simple,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Florida Georgia Line,2018-06-01,185200,0,0.375,0.889,3,-3.704,1,0.0991,0.0848,0.0,0.136,0.881,199.669
